Ref,Val,Package,PosX,PosY,Rot,Side
""","'","MX-1U-NoLED",265.112500,-87.312500,0.000000,top
"-","MX-NoLED","MX-1U-NoLED",250.825000,-49.212500,0.000000,top
"0","MX-NoLED","MX-1U-NoLED",231.775000,-49.212500,0.000000,top
"1.25U","MX-NoLED","MX-1.25U-NoLED",281.800000,-125.430000,0.000000,top
"1.25U","MX-NoLED","MX-1.25U-NoLED",305.700000,-125.430000,0.000000,top
"1.25U","MX-NoLED","MX-1.25U-NoLED",43.750000,-125.330000,0.000000,top
"1.25U","MX-NoLED","MX-1.25U-NoLED",67.590000,-125.450000,0.000000,top
"1.25U","MX-NoLED","MX-1.25U-NoLED",257.960000,-125.490000,0.000000,top
"1.25U","MX-NoLED","MX-1.25U-NoLED",91.510000,-125.450000,0.000000,top
"1.25U","MX-NoLED","MX-1.25U-NoLED",234.240000,-125.430000,0.000000,top
"1.50u","MX-NoLED","MX-1.5U-NoLED",93.662500,-125.412500,0.000000,top
"1.50u","MX-NoLED","MX-1.5U-NoLED",303.212500,-125.412500,0.000000,top
"1.50u","MX-NoLED","MX-1.5U-NoLED",46.037500,-125.412500,0.000000,top
"1.50u","MX-NoLED","MX-1.5U-NoLED",255.587500,-125.412500,0.000000,top
"1u","MX-NoLED","MX-1U-NoLED",69.850000,-125.412500,0.000000,top
"1u","MX-NoLED","MX-1U-NoLED",279.400000,-125.412500,0.000000,top
"1u/7u/10u","MX-NoLED","MX-1U-NoLED",174.625000,-125.412500,0.000000,top
"2","MX-NoLED","MX-1U-NoLED",60.350000,-49.190000,0.000000,top
"2","MX-NoLED","MX-1U-NoLED",160.320000,-106.380000,0.000000,top
"2","MX-NoLED","MX-1U-NoLED",79.375000,-49.212500,0.000000,top
"3","MX-NoLED","MX-1U-NoLED",98.425000,-49.212500,0.000000,top
"4","MX-NoLED","MX-1U-NoLED",117.475000,-49.212500,0.000000,top
"5","MX-NoLED","MX-1U-NoLED",136.525000,-49.212500,0.000000,top
"6","MX-NoLED","MX-1U-NoLED",155.575000,-49.212500,0.000000,top
"7","MX-NoLED","MX-1U-NoLED",174.625000,-49.212500,0.000000,top
"8","MX-NoLED","MX-1U-NoLED",193.675000,-49.212500,0.000000,top
"9","MX-NoLED","MX-1U-NoLED",212.725000,-49.212500,0.000000,top
":",";","MX-1U-NoLED",246.062500,-87.312500,0.000000,top
"<",",","MX-1U-NoLED",217.487500,-106.362500,0.000000,top
"=","MX-NoLED","MX-1U-NoLED",269.875000,-49.212500,0.000000,top
">",".","MX-1U-NoLED",236.537500,-106.362500,0.000000,top
"?","/","MX-1U-NoLED",255.587500,-106.362500,0.000000,top
"A","MX-NoLED","MX-1U-NoLED",74.612500,-87.312500,0.000000,top
"ANSI","MX-NoLED","MX-1.5U-NoLED",303.212500,-68.262500,0.000000,top
"ANSI","MX-NoLED","MX-2.25U-NoLED",296.068750,-87.312500,0.000000,top
